 	0-1                                                                                                                                                                                                                                                                                                         	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	Zero                                                                                                                                                                                                                                                                                                        	
Period	Occupation_OFFICE        	Q_heat_OFFICE            	Q_lat_hu_OFFICE          	Q_al_ht_OFFICE           	Q_ahu_sen_ht_OFFICE      	Q_ahu_sen_dh_ht_OFFICE   	Q_ahu_lat_hu_OFFICE      	Q_dhw_OFFICE             	Q_tot_ht_OFFICE          	Q_cool_OFFICE            	Q_lat_dh_OFFICE          	Q_al_cl_OFFICE           	Q_ahu_sen_cl_OFFICE      	Q_ahu_dh_cl_OFFICE       	Q_tot_cl_OFFICE          	Q_light_el_OFFICE        	Q_equip_el_OFFICE        	Q_misc_el_OFFICE         	Q_al_el_OFFICE           	Q_ahu_el_OFFICE          	Q_tot_el_OFFICE          	Q_solabs_OFFICE          	Q_intgain_OFFICE         	Q_surf_OFFICE            	Q_inf_OFFICE             	Q_vent_OFFICE            	Q_coup_OFFICE            	Q_solair_OFFICE          	Zero                     	
      1.0000       0.0000       0.0000       0.0000      11.6797       0.0000       0.0000       0.0000       0.0000      11.6797       0.0000       0.0000      46.0683       0.0000       0.0000      46.0683       0.0000       0.0000       1.5000       0.5775       0.0000       2.0775       0.0000       1.5000      -1.1615      -2.3991       0.0000       0.0000       0.0000       0.0000
      2.0000       0.0000       0.0000       0.0000      27.2110       0.0000       0.0000       0.0000       0.0000      27.2110       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       1.5000       0.2721       0.0000       1.7721       0.0000       1.5000       0.9507      -2.5540       0.0000       0.0000       0.0000       0.0000
      3.0000       0.0000       0.0000       0.0000      27.2034       0.0000       0.0000       0.0000       0.0000      27.2034       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       1.5000       0.2720       0.0000       1.7720       0.0000       1.5000       1.5568      -2.6794       0.0000       0.0000       0.0000       0.0000
      4.0000       0.0000       0.0000       0.0000      27.3210       0.0000       0.0000       0.0000       0.0000      27.3210       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       1.5000       0.2732       0.0000       1.7732       0.0000       1.5000       1.9499      -2.7485       0.0000       0.0000       0.0000       0.0000
      5.0000       0.0000       0.0000       0.0000      27.1595       0.0000       0.0000       0.0000       0.0000      27.1595       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       1.5000       0.2716       0.0000       1.7716       0.0000       1.5000       2.1943      -2.7744       0.0000       0.0000       0.0000       0.0000
      6.0000       0.0000       0.0000       0.0000      27.2094       0.0000       0.0000       0.0000       0.0000      27.2094       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       1.5000       0.2721       0.0000       1.7721       0.0000       1.5000       2.3251      -2.7892       0.0000       0.0000       0.0000       0.0000
      7.0000       0.0000       0.0000       0.0000      27.2228       0.0000       0.0000       0.0000       0.0000      27.2228       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       1.5000       0.2722       0.0000       1.7722       0.0000       1.5000       2.4571      -2.7383       0.0000       0.0000       0.0000       0.0000
      8.0000       0.0000       0.0000       0.0000      27.0148       0.0000       0.0000       0.0000       0.0000      27.0148       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       1.5000       0.2701       0.0000       1.7701       0.0000       1.5000       2.3968      -2.6816       0.0000       0.0000       0.0000       0.0000
      9.0000       1.0000       5.1416       0.0000      26.8513      14.1486       0.0000       5.8264       0.0000      51.9679       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      10.0000       7.0000       1.5000       0.2685       3.6050      22.3735       0.1327      22.2500     -19.5704      -2.9501       4.0824       0.0000       0.0116       0.0000
     10.0000       1.0000       0.0000       0.0000      27.0422      13.2565       0.0000       5.8791       0.0000      46.1778       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      10.0000       7.0000       1.5000       0.2704       3.6050      22.3754       1.0960      22.2500     -21.1073      -3.0249       3.2513       0.0000       0.0960       0.0000
     11.0000       1.0000       0.0000       0.0000      26.9054      12.2998       0.0000       5.6693       0.0000      44.8745       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      10.0000       7.0000       1.5000       0.2691       3.6050      22.3741       5.9103      22.2500     -24.8450      -3.0941       2.4167       0.0000       0.5198       0.0000
     12.0000       1.0000       0.0000       0.0000      26.8832      11.2089       0.0000       5.4965       0.0000      43.5886       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      10.0000       7.0000       1.5000       0.2688       3.6050      22.3738       8.7283      22.2500     -27.6123      -3.1408       1.6308       0.0000       0.7731       0.0000
     13.0000       1.0000       0.0000       0.0000      26.8480      10.3605       0.0000       5.5528       0.0000      42.7612       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      10.0000       7.0000       1.5000       0.2685       3.6050      22.3735       9.5313      22.2500     -28.3162      -3.1758       1.0264       0.0000       0.8455       0.0000
     14.0000       1.0000       0.0000       0.0000      26.8257       9.9655       0.0000       5.8982       0.0000      42.6894       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      10.0000       7.0000       1.5000       0.2683       3.6050      22.3733       7.1844      22.2500     -26.1033      -3.2023       0.6924       0.0000       0.6305       0.0000
     15.0000       1.0000       0.0000       0.0000      26.8567       9.0884       0.0000       6.0737       0.0000      42.0187       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      10.0000       7.0000       1.5000       0.2686       3.6050      22.3736       7.7817      22.2500     -26.2249      -3.1690       0.4254       0.0000       0.7071       0.0000
     16.0000       1.0000       0.0000       0.0000      20.5165       8.4649       0.0000       6.0578       0.0000      35.0392       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      10.0000       7.0000       1.5000       0.2052       3.6050      22.3102       7.9373      22.2500     -26.2467      -3.1584       0.1680       0.0000       0.7143       0.0000
     17.0000       1.0000       0.0000       0.0000       0.0000       9.7019       0.0000       6.1962       0.0000      15.8981       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      10.0000       7.0000       1.5000       0.0000       3.6050      22.1050       0.3728      22.2500     -19.9911      -3.2516       0.3068       0.0000       0.0327       0.0000
     18.0000       1.0000       0.0000       0.0000       0.0000      10.3140       0.0000       6.0553       0.0000      16.3693       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      10.0000       7.0000       1.5000       0.0000       3.6050      22.1050       0.0000      22.2500     -18.6422      -3.2632       0.5529       0.0000       0.0000       0.0000
     19.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       1.5000       0.0000       0.0000       1.5000       0.0000       1.5000      -3.4409      -3.0596       0.0000       0.0000       0.0000       0.0000
     20.0000       0.0000       0.0000       0.0000      24.6054       0.0000       0.0000       0.0000       0.0000      24.6054       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       1.5000       0.2461       0.0000       1.7461       0.0000       1.5000       1.1219      -2.9472       0.0000       0.0000       0.0000       0.0000
