 	0-1                                                                                                                                                                                                                                                                                                         	°C                                                                                                                                                                                                                                                                                                          	g/kg                                                                                                                                                                                                                                                                                                        	°C                                                                                                                                                                                                                                                                                                          	°C                                                                                                                                                                                                                                                                                                          	°C                                                                                                                                                                                                                                                                                                          	°C                                                                                                                                                                                                                                                                                                          	°C                                                                                                                                                                                                                                                                                                          	°C                                                                                                                                                                                                                                                                                                          	°C                                                                                                                                                                                                                                                                                                          	°C                                                                                                                                                                                                                                                                                                          	°C                                                                                                                                                                                                                                                                                                          	g/kg                                                                                                                                                                                                                                                                                                        	%                                                                                                                                                                                                                                                                                                           	°C                                                                                                                                                                                                                                                                                                          	°C                                                                                                                                                                                                                                                                                                          	°C                                                                                                                                                                                                                                                                                                          	°C                                                                                                                                                                                                                                                                                                          	g/kg                                                                                                                                                                                                                                                                                                        	°C                                                                                                                                                                                                                                                                                                          	°C                                                                                                                                                                                                                                                                                                          	1/h                                                                                                                                                                                                                                                                                                         	m3                                                                                                                                                                                                                                                                                                          	0/1                                                                                                                                                                                                                                                                                                         	0                                                                                                                                                                                                                                                                                                           	
Period	Occupation_OFFICE        	Tamb                     	X_amb                    	Tamb_m24                 	Tamb_g24                 	Tset_cl_OFFICE           	Tset_ht_OFFICE           	Tair_OFFICE              	Top_OFFICE               	ATop_OFFICE              	ATair_OFFICE             	Tdp_OFFICE               	X_OFFICE                 	Arh_OFFICE               	Tsup_al_OFFICE           	Tout_al_OFFICE           	Tsurf_al_OFFICE          	Tsup_mv_OFFICE           	X_mv_OFFICE              	Tearthd_OFFICE           	Thrc_OFFICE              	ACR_tot_OFFICE           	Vol_OFFICE               	SHD_active_OFFICE        	Zero                     	
      1.0000       0.0000      -0.9000       3.1009       4.8529       5.0000      28.0000      20.0000      19.3526      19.3135       0.0000       0.0000       9.1664       7.1946       0.0000      16.3084      19.1199      19.6682      -0.9000       3.1009      -0.9000      14.1593       0.1000     252.0000       0.0000       0.0000
      2.0000       0.0000      -2.7500       2.6245       4.5579       5.0000      28.0000      20.0000      18.8098      18.8767       0.0000       0.0000       8.8732       7.0522       0.0000      22.4758      20.2396      19.6296      -2.7500       2.6245      -2.7500      12.0598       0.1000     252.0000       0.0000       0.0000
      3.0000       0.0000      -4.1000       2.3125       4.1975       5.0000      28.0000      20.0000      18.5185      18.6205       0.0000       0.0000       8.5570       6.9014       0.0000      22.7229      20.4865      19.7372      -4.1000       2.3125      -4.1000      10.4185       0.1000     252.0000       0.0000       0.0000
      4.0000       0.0000      -4.8500       2.1558       3.7972       5.0000      28.0000      20.0000      18.3519      18.4769       0.0000       0.0000       8.2288       6.7480       0.0000      22.9145      20.6635      19.8678      -4.8500       2.1558      -4.8500       9.5019       0.1000     252.0000       0.0000       0.0000
      5.0000       0.0000      -5.1500       2.0886       3.3777       5.0000      28.0000      20.0000      18.2707      18.4105       0.0000       0.0000       7.8974       6.5962       0.0000      23.0618      20.8169      19.9960      -5.1500       2.0886      -5.1500       9.1207       0.1000     252.0000       0.0000       0.0000
      6.0000       0.0000      -5.3000       2.0498       2.9512       5.0000      28.0000      20.0000      18.2454      18.3937       0.0000       0.0000       7.5664       6.4478       0.0000      23.2143      20.9646      20.1208      -5.3000       2.0498      -5.3000       8.9454       0.1000     252.0000       0.0000       0.0000
      7.0000       0.0000      -4.8500       2.1184       2.5295       5.0000      28.0000      20.0000      18.2661      18.4227       0.0000       0.0000       7.2397       6.3042       0.0000      23.3591      21.1029      20.2464      -4.8500       2.1184      -4.8500       9.4161       0.1000     252.0000       0.0000       0.0000
      8.0000       0.0000      -4.3000       2.1408       2.1370       5.0000      28.0000      20.0000      18.3368      18.4922       0.0000       0.0000       6.9237       6.1681       0.0000      23.4840      21.2323      20.3735      -4.3000       2.1408      -4.3000      10.0368       0.1000     252.0000       0.0000       0.0000
      9.0000       1.0000      -4.2500       2.0308       1.7505       5.0000      28.0000      20.0000      20.6541      20.2323      20.2323      20.6541       6.7800       6.1070      40.4850      23.6474      21.4237      20.8185      24.0000       4.0000      -4.2500      12.4041       1.1300     252.0000       0.0000       0.0000
