 	0-1                                                                                                                                                                                                                                                                                                         	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	Zero                                                                                                                                                                                                                                                                                                        	
Period	Occupation_OFFICE_NE     	Q_heat_OFFICE_NE         	Q_lat_hu_OFFICE_NE       	Q_al_ht_OFFICE_NE        	Q_ahu_sen_ht_OFFICE_NE   	Q_ahu_sen_dh_ht_OFFICE_NE	Q_ahu_lat_hu_OFFICE_NE   	Q_dhw_OFFICE_NE          	Q_tot_ht_OFFICE_NE       	Q_cool_OFFICE_NE         	Q_lat_dh_OFFICE_NE       	Q_al_cl_OFFICE_NE        	Q_ahu_sen_cl_OFFICE_NE   	Q_ahu_dh_cl_OFFICE_NE    	Q_tot_cl_OFFICE_NE       	Q_light_el_OFFICE_NE     	Q_equip_el_OFFICE_NE     	Q_misc_el_OFFICE_NE      	Q_al_el_OFFICE_NE        	Q_ahu_el_OFFICE_NE       	Q_tot_el_OFFICE_NE       	Q_solabs_OFFICE_NE       	Q_intgain_OFFICE_NE      	Q_surf_OFFICE_NE         	Q_inf_OFFICE_NE          	Q_vent_OFFICE_NE         	Q_coup_OFFICE_NE         	Q_solair_OFFICE_NE       	Zero                     	
      1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       1.5003       0.0000       0.0000       1.5003       0.0000       1.5003       5.5619      -8.4956       0.0000       0.0000       0.0000       0.0000
      2.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       1.5003       0.0000       0.0000       1.5003       0.0000       1.5003       8.8074      -9.5710       0.0000       0.0000       0.0000       0.0000
      3.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       1.5003       0.0000       0.0000       1.5003       0.0000       1.5003       9.8470     -10.3134       0.0000       0.0000       0.0000       0.0000
      4.0000       0.0000       0.7357       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.7357       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       1.5003       0.0000       0.0000       1.5003       0.0000       1.5003       9.9594     -10.2431       0.0000       0.0000       0.0000       0.0000
      5.0000       0.0000       4.6874       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       4.6874       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       1.5003       0.0000       0.0000       1.5003       0.0000       1.5003       7.0895     -10.2501       0.0000       0.0000       0.0000       0.0000
      6.0000       0.0000       8.4749       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       8.4749       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       1.5003       0.0000       0.0000       1.5003       0.0000       1.5003       3.3701     -10.3806       0.0000       0.0000       0.0000       0.0000
      7.0000       0.0000      10.9829       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      10.9829       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       1.5003       0.0000       0.0000       1.5003       0.0000       1.5003       0.9048     -10.4886       0.0000       0.0000       0.0000       0.0000
      8.0000       0.0000      12.9721       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      12.9721       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       1.5003       0.0000       0.0000       1.5003       0.0000       1.5003      -1.0535     -10.5403       0.0000       0.0000       0.0000       0.0000
      9.0000       1.0000      40.0215       0.0000       0.0000       7.4353       0.0000       2.3982       0.0000      49.8550       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      10.0023      10.3858       1.5003       0.0000       1.3416      23.2301       0.5240      27.4498     -43.5630     -12.7153       2.1192       0.0000       0.0518       0.0000
