 	0-1                                                                                                                                                                                                                                                                                                         	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	Zero                                                                                                                                                                                                                                                                                                        	
Period	Occupation_OFFICE_SW     	Q_heat_OFFICE_SW         	Q_lat_hu_OFFICE_SW       	Q_al_ht_OFFICE_SW        	Q_ahu_sen_ht_OFFICE_SW   	Q_ahu_sen_dh_ht_OFFICE_SW	Q_ahu_lat_hu_OFFICE_SW   	Q_dhw_OFFICE_SW          	Q_tot_ht_OFFICE_SW       	Q_cool_OFFICE_SW         	Q_lat_dh_OFFICE_SW       	Q_al_cl_OFFICE_SW        	Q_ahu_sen_cl_OFFICE_SW   	Q_ahu_dh_cl_OFFICE_SW    	Q_tot_cl_OFFICE_SW       	Q_light_el_OFFICE_SW     	Q_equip_el_OFFICE_SW     	Q_misc_el_OFFICE_SW      	Q_al_el_OFFICE_SW        	Q_ahu_el_OFFICE_SW       	Q_tot_el_OFFICE_SW       	Q_solabs_OFFICE_SW       	Q_intgain_OFFICE_SW      	Q_surf_OFFICE_SW         	Q_inf_OFFICE_SW          	Q_vent_OFFICE_SW         	Q_coup_OFFICE_SW         	Q_solair_OFFICE_SW       	Zero                     	
      1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       1.5003       0.0000       0.0000       1.5003       0.0000       1.5003       5.5706      -8.5092       0.0000       0.0000       0.0000       0.0000
      2.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       1.5003       0.0000       0.0000       1.5003       0.0000       1.5003       8.8204      -9.5863       0.0000       0.0000       0.0000       0.0000
      3.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       1.5003       0.0000       0.0000       1.5003       0.0000       1.5003       9.8613     -10.3297       0.0000       0.0000       0.0000       0.0000
      4.0000       0.0000       0.7397       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.7397       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       1.5003       0.0000       0.0000       1.5003       0.0000       1.5003       9.9728     -10.2592       0.0000       0.0000       0.0000       0.0000
      5.0000       0.0000       4.7040       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       4.7040       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       1.5003       0.0000       0.0000       1.5003       0.0000       1.5003       7.0911     -10.2664       0.0000       0.0000       0.0000       0.0000
      6.0000       0.0000       8.4991       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       8.4991       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       1.5003       0.0000       0.0000       1.5003       0.0000       1.5003       3.3641     -10.3971       0.0000       0.0000       0.0000       0.0000
      7.0000       0.0000      11.0100       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      11.0100       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       1.5003       0.0000       0.0000       1.5003       0.0000       1.5003       0.8960     -10.5053       0.0000       0.0000       0.0000       0.0000
      8.0000       0.0000      13.0008       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      13.0008       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       1.5003       0.0000       0.0000       1.5003       0.0000       1.5003      -1.0639     -10.5571       0.0000       0.0000       0.0000       0.0000
      9.0000       1.0000      23.5241       0.0000       0.0000      17.7654       0.0000       5.7301       0.0000      47.0196       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      10.0023      24.9256       1.5003       0.0000       3.2056      39.6339       0.1449      49.7813     -43.5176     -12.7356       5.0636       0.0000       0.0146       0.0000
     10.0000       1.0000       8.2414       0.0000       0.0000      17.5427       0.0000       5.3900       0.0000      31.1741       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       2.5006      24.9256       1.5003       0.0000       3.2056      32.1322       0.6765      42.2796     -32.5693     -12.5873       5.0812       0.0000       0.0680       0.0000
     11.0000       1.0000       1.2903       0.0000       0.0000      17.8842       0.0000       5.1287       0.0000      24.3032       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      24.9256       1.5003       0.0000       3.2056      29.6316       1.9094      39.7790     -24.2195     -12.2896       5.7175       0.0000       0.1916       0.0000
     12.0000       1.0000       0.0000       0.0000       0.0000      17.5084       0.0000       5.0451       0.0000      22.5535       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      24.9256       1.5003       0.0000       3.2056      29.6316       2.9143      39.7790     -23.6653     -12.1148       5.5148       0.0000       0.2936       0.0000
