 	0-1                                                                                                                                                                                                                                                                                                         	°C                                                                                                                                                                                                                                                                                                          	g/kg                                                                                                                                                                                                                                                                                                        	°C                                                                                                                                                                                                                                                                                                          	°C                                                                                                                                                                                                                                                                                                          	°C                                                                                                                                                                                                                                                                                                          	°C                                                                                                                                                                                                                                                                                                          	°C                                                                                                                                                                                                                                                                                                          	°C                                                                                                                                                                                                                                                                                                          	°C                                                                                                                                                                                                                                                                                                          	°C                                                                                                                                                                                                                                                                                                          	°C                                                                                                                                                                                                                                                                                                          	g/kg                                                                                                                                                                                                                                                                                                        	%                                                                                                                                                                                                                                                                                                           	°C                                                                                                                                                                                                                                                                                                          	°C                                                                                                                                                                                                                                                                                                          	°C                                                                                                                                                                                                                                                                                                          	°C                                                                                                                                                                                                                                                                                                          	g/kg                                                                                                                                                                                                                                                                                                        	°C                                                                                                                                                                                                                                                                                                          	°C                                                                                                                                                                                                                                                                                                          	1/h                                                                                                                                                                                                                                                                                                         	m3                                                                                                                                                                                                                                                                                                          	0/1                                                                                                                                                                                                                                                                                                         	0                                                                                                                                                                                                                                                                                                           	
Period	Occupation_A3            	Tamb                     	X_amb                    	Tamb_m24                 	Tamb_g24                 	Tset_cl_A3               	Tset_ht_A3               	Tair_A3                  	Top_A3                   	ATop_A3                  	ATair_A3                 	Tdp_A3                   	X_A3                     	Arh_A3                   	Tsup_al_A3               	Tout_al_A3               	Tsurf_al_A3              	Tsup_mv_A3               	X_mv_A3                  	Tearthd_A3               	Thrc_A3                  	ACR_tot_A3               	Vol_A3                   	SHD_active_A3            	Zero                     	
      1.0000       0.0000       3.6625       3.7304       4.9748       5.0000      26.0000      20.0000      16.4634      17.4332       0.0000       0.0000       1.0363       4.1035       0.0000       0.0000       0.0000       0.0000       3.6625       3.7304       3.6625      13.2632       0.5000    2299.7000       0.0000       0.0000
      2.0000       0.0000       0.9625       3.2311       4.8471       5.0000      26.0000      20.0000      16.2467      17.1823       0.0000       0.0000      -0.2246       3.7038       0.0000       0.0000       0.0000       0.0000       0.9625       3.2311       0.9625      12.4256       0.5000    2299.7000       0.0000       0.0000
      3.0000       0.0000      -1.0375       2.8627       4.6226       5.0000      26.0000      20.0000      16.6868      17.1797       0.0000       0.0000      -0.4334       3.6400       0.0000       0.0000       0.0000       0.0000      -1.0375       2.8627      -1.0375      11.6493       0.5000    2299.7000       0.0000       0.0000
      4.0000       0.0000      -1.4000       2.8190       4.3581       5.0000      26.0000      20.0000      17.0246      17.1868       0.0000       0.0000      -0.6628       3.5711       0.0000       0.0000       0.0000       0.0000      -1.4000       2.8190      -1.4000      11.6246       0.5000    2299.7000       0.0000       0.0000
      5.0000       0.0000      -1.5000       2.8290       4.0889       5.0000      26.0000      20.0000      17.2354      17.1910       0.0000       0.0000      -0.9003       3.5011       0.0000       0.0000       0.0000       0.0000      -1.5000       2.8290      -1.5000      11.7354       0.5000    2299.7000       0.0000       0.0000
      6.0000       0.0000      -1.6000       2.8427       3.8154       5.0000      26.0000      20.0000      17.3740      17.1944       0.0000       0.0000      -1.0784       3.4494       0.0000       0.0000       0.0000       0.0000      -1.6000       2.8427      -1.6000      11.7740       0.5000    2299.7000       0.0000       0.0000
      7.0000       0.0000      -1.6875       2.8755       3.5380       5.0000      26.0000      20.0000      17.4839      17.1958       0.0000       0.0000      -1.2330       3.4050       0.0000       0.0000       0.0000       0.0000      -1.6875       2.8755      -1.6875      11.7964       0.5000    2299.7000       0.0000       0.0000
      8.0000       0.0000      -1.6875       2.8837       3.2590       5.0000      26.0000      20.0000      17.5783      17.1961       0.0000       0.0000      -1.3686       3.3666       0.0000       0.0000       0.0000       0.0000      -1.6875       2.8837      -1.6875      11.8908       0.5000    2299.7000       0.0000       0.0000
      9.0000       1.0000      -1.5750       2.9110       2.9828       5.0000      26.0000      20.0000      21.6665      19.9480      19.9480      21.6665      -0.6065       3.5888      22.4457       0.0000       0.0000       0.0000      24.0000       4.0000      -1.5750      15.8130       1.5995    2299.7000       0.0000       0.0000
     10.0000       1.0000      -1.3125       2.9757       2.7155       5.0000      26.0000      20.0000      21.6584      20.2246      20.2246      21.6584       0.1282       3.8145      23.8472       0.0000       0.0000       0.0000      24.0000       4.0000      -1.3125      15.9157       1.5995    2299.7000       0.0000       0.0000
