 	0-1                                                                                                                                                                                                                                                                                                         	°C                                                                                                                                                                                                                                                                                                          	g/kg                                                                                                                                                                                                                                                                                                        	°C                                                                                                                                                                                                                                                                                                          	°C                                                                                                                                                                                                                                                                                                          	°C                                                                                                                                                                                                                                                                                                          	°C                                                                                                                                                                                                                                                                                                          	°C                                                                                                                                                                                                                                                                                                          	°C                                                                                                                                                                                                                                                                                                          	°C                                                                                                                                                                                                                                                                                                          	°C                                                                                                                                                                                                                                                                                                          	°C                                                                                                                                                                                                                                                                                                          	g/kg                                                                                                                                                                                                                                                                                                        	%                                                                                                                                                                                                                                                                                                           	°C                                                                                                                                                                                                                                                                                                          	°C                                                                                                                                                                                                                                                                                                          	°C                                                                                                                                                                                                                                                                                                          	°C                                                                                                                                                                                                                                                                                                          	g/kg                                                                                                                                                                                                                                                                                                        	°C                                                                                                                                                                                                                                                                                                          	°C                                                                                                                                                                                                                                                                                                          	1/h                                                                                                                                                                                                                                                                                                         	m3                                                                                                                                                                                                                                                                                                          	0/1                                                                                                                                                                                                                                                                                                         	0                                                                                                                                                                                                                                                                                                           	
Period	Occupation_OFFICE_NE     	Tamb                     	X_amb                    	Tamb_m24                 	Tamb_g24                 	Tset_cl_OFFICE_NE        	Tset_ht_OFFICE_NE        	Tair_OFFICE_NE           	Top_OFFICE_NE            	ATop_OFFICE_NE           	ATair_OFFICE_NE          	Tdp_OFFICE_NE            	X_OFFICE_NE              	Arh_OFFICE_NE            	Tsup_al_OFFICE_NE        	Tout_al_OFFICE_NE        	Tsurf_al_OFFICE_NE       	Tsup_mv_OFFICE_NE        	X_mv_OFFICE_NE           	Tearthd_OFFICE_NE        	Thrc_OFFICE_NE           	ACR_tot_OFFICE_NE        	Vol_OFFICE_NE            	SHD_active_OFFICE_NE     	Zero                     	
      1.0000       0.0000       3.6625       3.7304       4.9748       5.0000      26.0000      20.0000      19.1911      18.7971       0.0000       0.0000       8.7410       6.9902       0.0000       0.0000       0.0000       0.0000       3.6625       3.7304       3.6625      15.3090       0.5000     435.8000       0.0000       0.0000
      2.0000       0.0000       0.9625       3.2311       4.8471       5.0000      26.0000      20.0000      18.4566      18.2873       0.0000       0.0000       7.5647       6.4485       0.0000       0.0000       0.0000       0.0000       0.9625       3.2311       0.9625      14.0831       0.5000     435.8000       0.0000       0.0000
      3.0000       0.0000      -1.0375       2.8627       4.6226       5.0000      26.0000      20.0000      17.8137      17.7431       0.0000       0.0000       6.3341       5.9228       0.0000       0.0000       0.0000       0.0000      -1.0375       2.8627      -1.0375      12.7413       0.5000     435.8000       0.0000       0.0000
      4.0000       0.0000      -1.4000       2.8190       4.3581       5.0000      26.0000      20.0000      17.3226      17.3358       0.0000       0.0000       5.1322       5.4470       0.0000       0.0000       0.0000       0.0000      -1.4000       2.8190      -1.4000      11.9226       0.5000     435.8000       0.0000       0.0000
      5.0000       0.0000      -1.5000       2.8290       4.0889       5.0000      26.0000      20.0000      17.2354      17.1910       0.0000       0.0000       4.0380       5.0444       0.0000       0.0000       0.0000       0.0000      -1.5000       2.8290      -1.5000      11.7354       0.5000     435.8000       0.0000       0.0000
      6.0000       0.0000      -1.6000       2.8427       3.8154       5.0000      26.0000      20.0000      17.3740      17.1944       0.0000       0.0000       3.0524       4.7051       0.0000       0.0000       0.0000       0.0000      -1.6000       2.8427      -1.6000      11.7740       0.5000     435.8000       0.0000       0.0000
      7.0000       0.0000      -1.6875       2.8755       3.5380       5.0000      26.0000      20.0000      17.4839      17.1958       0.0000       0.0000       2.1784       4.4219       0.0000       0.0000       0.0000       0.0000      -1.6875       2.8755      -1.6875      11.7964       0.5000     435.8000       0.0000       0.0000
      8.0000       0.0000      -1.6875       2.8837       3.2590       5.0000      26.0000      20.0000      17.5783      17.1961       0.0000       0.0000       1.4078       4.1852       0.0000       0.0000       0.0000       0.0000      -1.6875       2.8837      -1.6875      11.8908       0.5000     435.8000       0.0000       0.0000
      9.0000       1.0000      -1.5750       2.9110       2.9828       5.0000      26.0000      20.0000      21.6665      19.9480      19.9480      21.6665       1.7508       4.2899      26.8036       0.0000       0.0000       0.0000      24.0000       4.0000      -1.5750      15.8130       1.3300     435.8000       0.0000       0.0000
