Koordinatensystem : Lambert konform konisch
Rechtswert        : 3943500 Meter
Hochwert          : 2443500 Meter
Hoehenlage        : 380 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3943500 2443500  1  1  1   3.6  976 120  3.0 8  4.0  76    0    0 262 -301  2
3943500 2443500  1  1  2   0.9  976  93  2.1 8  3.4  80    0    0 264 -300  2
3943500 2443500  1  1  3  -1.3  976  66  1.4 8  3.0  83    0    0 260 -299  2
3943500 2443500  1  1  4  -1.4  976  66  1.3 8  3.0  84    0    0 262 -298  2
3943500 2443500  1  1  5  -1.5  975  66  1.5 8  3.0  85    0    0 268 -298  2
3943500 2443500  1  1  6  -1.6  974  46  1.5 8  3.0  86    0    0 270 -298  2
3943500 2443500  1  1  7  -1.7  974  81  2.1 8  3.1  88    0    0 271 -297  2
3943500 2443500  1  1  8  -1.7  973  98  1.4 8  3.1  88    0    0 272 -297  2
3943500 2443500  1  1  9  -1.6  973  67  0.7 8  3.1  88    0    3 274 -297  2
3943500 2443500  1  1 10  -1.3  972  70  1.8 8  3.1  88    0   13 277 -299  2
3943500 2443500  1  1 11  -1.1  971  99  1.9 8  3.2  88    0   37 278 -303  2
3943500 2443500  1  1 12  -0.6  970  55  1.9 7  3.2  85    0   63 275 -309  2
3943500 2443500  1  1 13  -0.5  969 106  2.1 8  3.2  83    0   62 277 -315  2
3943500 2443500  1  1 14  -0.7  967  63  2.3 8  3.2  83    0   55 285 -318  2
3943500 2443500  1  1 15  -0.7  966  42  1.1 8  3.1  83    0   49 286 -320  2
3943500 2443500  1  1 16  -0.7  966   6  0.9 8  3.1  82    0   27 289 -320  2
3943500 2443500  1  1 17  -0.9  966 224  1.0 8  3.1  83    0    3 291 -317  2
3943500 2443500  1  1 18  -0.9  965  80  1.7 8  3.1  84    0    0 292 -315  2
3943500 2443500  1  1 19  -1.0  965  91  2.8 8  3.2  85    0    0 293 -314  2
3943500 2443500  1  1 20  -1.2  965  89  3.0 7  3.2  87    0    0 287 -314  2
3943500 2443500  1  1 21  -1.2  964  89  2.6 8  3.2  88    0    0 287 -314  2
3943500 2443500  1  1 22  -1.3  964  82  2.2 8  3.2  88    0    0 295 -315  2
3943500 2443500  1  1 23  -1.6  964  81  2.4 8  3.2  90    0    0 295 -315  2
3943500 2443500  1  1 24  -1.8  964  78  2.4 7  3.3  92    0    0 288 -315  2
3943500 2443500  1  2  1  -2.1  964  81  2.5 7  3.2  94    0    0 281 -314  2
3943500 2443500  1  2  2  -2.4  963  80  2.7 7  3.2  94    0    0 280 -314  2
3943500 2443500  1  2  3  -2.2  964  80  2.6 7  3.1  93    0    0 278 -314  2
3943500 2443500  1  2  4  -2.4  964  76  2.8 7  3.1  92    0    0 278 -313  2
3943500 2443500  1  2  5  -2.5  964  71  2.7 8  3.1  92    0    0 285 -311  2
3943500 2443500  1  2  6  -2.7  964  62  3.1 8  3.0  92    0    0 292 -310  2
3943500 2443500  1  2  7  -2.9  964  67  3.9 7  3.0  92    0    0 283 -309  2
3943500 2443500  1  2  8  -3.1  965  72  4.4 7  2.9  91    0    0 270 -308  2
3943500 2443500  1  2  9  -3.3  965  77  4.4 7  2.8  89    0   12 267 -308  2
3943500 2443500  1  2 10  -3.1  966  78  3.6 7  2.7  86    4   57 264 -310  2
3943500 2443500  1  2 11  -2.5  967  83  4.8 7  2.6  81   12  110 262 -315  2
3943500 2443500  1  2 12  -1.8  968  47  5.3 5  2.6  78   14  138 240 -318  2
3943500 2443500  1  2 13  -2.1  968  92  4.9 6  2.6  76    0   92 230 -320  2
3943500 2443500  1  2 14  -1.9  968  91  3.9 7  2.6  76    0   47 254 -320  2
3943500 2443500  1  2 15  -1.8  968  64  4.5 8  2.6  76    0   29 279 -321  2
